company_code,company_name,check_type,snapshot_time,pdf_page,股权结构口径,上一时点股本/持股数(万股),上一时点出资额(万元注册资本),本次认缴/变化(万股),预期变更后股本/持股数(万股),PDF披露变更后股本/持股数(万股),差额(万股),status,notes
688775,影石创新,认缴流量数值与认购方核对,2019-10-31/2019-11-21,107.0,认购方：中证投资（受让自苏宁润东）,,,75.9321,,,,pass,认缴流量存在数量/金额/价格数值信号；认购方未在当前股权结构表中直接匹配，可能是名称差异或尚未抽取对应时点
688775,影石创新,认缴流量数值与认购方核对,2019-10-31/2019-11-21,107.0,认购方：金石智娱（受让自苏宁润东）,,,75.9286,,,,pass,认缴流量存在数量/金额/价格数值信号；认购方未在当前股权结构表中直接匹配，可能是名称差异或尚未抽取对应时点
688775,影石创新,认缴流量数值与认购方核对,2019-10-31/2019-11-21,107.0,认购方：伊敦传媒（受让自苏宁润东）,,,103.2629,,,,pass,认缴流量存在数量/金额/价格数值信号；认购方未在当前股权结构表中直接匹配，可能是名称差异或尚未抽取对应时点
688775,影石创新,认缴流量数值与认购方核对,2019-10-31/2019-11-21,107.0,认购方：天正投资（受让自苏宁润东）,,,60.7428,,,,pass,认缴流量存在数量/金额/价格数值信号；认购方未在当前股权结构表中直接匹配，可能是名称差异或尚未抽取对应时点
688775,影石创新,认缴流量数值与认购方核对,2019-10-31/2019-11-21,107.0,认购方：德朴投资（受让自苏宁润东）,,,10.069,,,,pass,认缴流量存在数量/金额/价格数值信号；认购方未在当前股权结构表中直接匹配，可能是名称差异或尚未抽取对应时点
920100,三协电机,认缴流量数值与认购方核对,2022-08/2022-09,250.0,认购方：稳正景明、长泽创投,,,530.0,,,,pass,认缴流量存在数量/金额/价格数值信号；认购方未在当前股权结构表中直接匹配，可能是名称差异或尚未抽取对应时点
920100,三协电机,认缴流量数值与认购方核对,2023-08-28/2023-09,250.0,认购方：盛祎等15名认购人,,,318.5,,,,pass,认缴流量存在数量/金额/价格数值信号；认购方未在当前股权结构表中直接匹配，可能是名称差异或尚未抽取对应时点
920100,三协电机,认缴流量数值与认购方核对,2023-12-04,250.0,认购方：全体股东（资本公积转增）,,,1462.43,,,,pass,认缴流量存在数量/金额/价格数值信号；认购方未在当前股权结构表中直接匹配，可能是名称差异或尚未抽取对应时点
920116,星图测控,认缴流量数值与认购方核对,2023-05,35.0,认购方：策星银河,,,279.0,,,,pass,认缴流量存在数量/金额/价格数值信号；认购方出现在股权结构表中
920116,星图测控,认缴流量数值与认购方核对,2023-05,35.0,认购方：策星逐日,,,171.0,,,,pass,认缴流量存在数量/金额/价格数值信号；认购方出现在股权结构表中
920116,星图测控,认缴流量数值与认购方核对,2023-05,35.0,认购方：幸福二期,,,300.0,,,,pass,认缴流量存在数量/金额/价格数值信号；认购方出现在股权结构表中
